pn,name,address,city,state,zip,tel,active,termcode,termdate,partdate,prev_pn,medaffil,resprog_ada,resprog_ama,resprog_aoa,resprog_oth,residents,shortterm,cah,provider_subtype,typ_control,nonprofit,forprofit,govt,maryland,nonstate,urbancbsa,beds_tot,beds_cert,lastyear
050703,RECOVERY INN OF LOS GATOS,3777 SOUTH BASCOM AVE,CAMPBELL,CA,95008,4085593400,0,"vol-merg,close",03sep1993,29jun1992,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,16,16,2017
050704,MISSION COMMUNITY HOSPITAL,14850 ROSCOE BLVD,PANORAMA CITY,CA,91402,8189043100,1,active,,30nov1992,,no affiliation,1,1,1,1,0,1,0,short term,non-profit private,1,0,0,0,0,1,96,96,2017
050705,VENCOR HOSPITAL - SAN LEANDRO,2800 BENEDICT DRIVE,SAN LEANDRO,CA,94577,5103578300,0,oth-status chg,30jan1993,29jan1993,052034,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,100,100,2017
050706,CALEXICO HOSPITAL,450 BIRCH ST,CALEXICO,CA,92231,6193571191,0,invol-fail req,22sep1995,22apr1993,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,34,26,2017
050707,MENLO PARK SURGICAL HOSPITAL,570 WILLOW ROAD,MENLO PARK,CA,94025,6503248500,0,"vol-merg,close",31mar2006,23mar1993,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,16,16,2017
050708,FRESNO SURGICAL HOSPITAL,6125 NORTH FRESNO ST,FRESNO,CA,93710,5594318000,1,active,,09apr1993,,no affiliation,1,1,1,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,31,31,2017
050709,DESERT VALLEY HOSPITAL,16850 BEAR VALLEY RD,VICTORVILLE,CA,92395,7602418000,1,active,,19sep1994,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,148,148,2017
050710,KAISER FOUNDATION HOSPITAL - FRESNO,7300 NORTH FRESNO ST,FRESNO,CA,93720,5594484500,1,active,,09mar1995,,limited,1,1,1,1,0,1,0,short term,non-profit private,1,0,0,0,0,1,169,169,2017
050711,THC ORANGE COUNTY,875 N BREA BLVD,BREA,CA,92621,7145296842,0,oth-status chg,30nov1995,13apr1995,052039,no affiliation,0,0,0,1,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,48,48,2017
050712,SPECIALTY HOSPITAL OF SOUTHERN CALIF,14900 E IMPERIAL HWY,LA MIRADA,CA,90637,3109441900,0,"vol-merg,close",31oct1995,28apr1995,052038,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,145,71,2017
050713,PROMISE HOSPITAL OF EAST LOS ANGELES,443 SOUTH SOTO STREET,LOS ANGELES,CA,90033,3232611181,0,oth-status chg,30jun2004,27sep1995,052046,limited,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,47,47,2017
050714,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,2900 CHANTICLEER AVENUE,SANTA CRUZ,CA,95065,8314772200,1,active,,18mar1996,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,30,30,2017
050715,HERITAGE HOSPITAL,10841 WHITE OAK AVENUE,RANCHO CUCAMONGA,CA,91730,9094846465,0,"vol-merg,close",09oct2000,28jun1996,052040,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,24,24,2017
050716,THC SAN DIEGO,3475 KENYON STREET,SAN DIEGO,CA,92110,6192256300,0,oth-status chg,31aug1997,24feb1997,052041,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,34,34,2017
050717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,5624017022,1,active,,01jul1997,052014,limited,0,0,0,0,2,1,0,short term,government local,0,0,1,0,0,1,395,289,2017
050718,VALLEY PLAZA DOCTORS HOSPITAL,2224 MEDICAL CENTER DRIVE,PERRIS,CA,92571,9099434555,0,"vol-merg,close",11feb2005,11jul1997,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,34,34,2017
050719,"HEART HOSPITAL, INC,THE",39 600 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270,7603243278,0,"vol-merg,close",19dec2000,20oct1997,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,12,12,2017
050720,TUSTIN HOSPITAL AND MEDICAL CENTER,14662 NEWPORT AVENUE,TUSTIN,CA,92780,7148389600,0,oth-status chg,31aug2008,31mar1998,052053,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,177,177,2017
050721,VENCOR HOSPITAL BURBANK,466 EAST OLIVE,BURBANK,CA,91501,8185268900,0,"vol-merg,close",25nov1998,21jul1998,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,105,105,2017
050722,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS--,3003 HEALTH CENTER DRIVE,SAN DIEGO,CA,92123,8585413017,0,"vol-merg,close",31oct2009,04sep1998,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,169,169,2017
050723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,1011 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706,6268511011,1,active,,27jan1999,,limited,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,1,269,269,2017
050724,BAKERSFIELD HEART HOSPITAL,3001 SILLECT AVENUE,BAKERSFIELD,CA,93308,6613166000,1,active,,06oct1999,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,47,47,2017
050725,CITY OF ANGELS MEDICAL CENTER,1711 WEST TEMPLE STREET,LOS ANGELES,CA,90026,2139896100,0,vol-other,17nov2008,12oct1999,054142,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,292,250,2017
050726,STANISLAUS SURGICAL HOSPITAL,1421 OAKDALE ROAD,MODESTO,CA,95355,2095722700,1,active,,10apr2000,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,23,23,2017
050727,COMMUNITY HOSPITAL OF LONG BEACH,1720 TERMINO AVENUE,LONG BEACH,CA,90804,5624940600,1,active,,23jul2001,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,258,107,2017
050728,SUTTER WARRACK HOSPITAL,2449 SUMMERFIELD ROAD,SANTA ROSA,CA,95405,7075429030,0,"vol-merg,close",31dec2004,19mar2001,050291,graduate,0,1,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,69,69,2017
050729,DANIEL FREEMAN MEMORIAL HOSPITAL,333 NORTH PRAIRIE AVENUE,INGLEWOOD,CA,90301,3106747050,0,"vol-merg,close",19nov2004,20dec2001,050741,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,358,329,2017
050730,DANIEL FREEMAN MARINA HOSPITAL,4650 LINCOLN BLVD,MARINA DEL REY,CA,90291,3108238911,0,"vol-merg,close",19nov2004,22dec2001,050740,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,166,145,2017
050731,RANCHO SPECIALTY HOSPITAL,10841 WHITE OAK AVENUE,RANCHO CUCAMONGA,CA,91730,9095816400,0,invol-fail req,12may2004,10sep2003,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,55,55,2017
050732,FRESNO HEART AND SURGICAL HOSPITAL,15 EAST AUDUBON DRIVE,FRESNO,CA,93720,5594338000,1,active,,22oct2003,,limited,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,57,57,2017
050733,SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE STREET,REDDING,CA,96001,5302445400,0,"vol-merg,close",01nov2008,16jul2004,,no affiliation,0,0,0,0,.25,1,0,short term,for-profit proprietary,0,1,0,0,0,1,269,269,2017
050734,VISTA SPECIALTY HOSPITAL OF SAN GABRIEL,14148 EAST FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,6263882700,0,oth-status chg,31aug2004,04mar2004,052045,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,95,95,2017
050735,WHITTIER HOSPITAL MEDICAL CENTER,9080 COLIMA RD,WHITTIER,CA,90605,5629453561,1,active,,01nov2004,050175,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,178,151,2017
050736,MONTEREY PARK HOSPITAL,900 S ATLANTIC BLVD,MONTEREY PARK,CA,91754,6265709000,1,active,,01nov2004,,no affiliation,0,0,0,0,1,1,0,short term,for-profit proprietary,0,1,0,0,0,1,102,102,2017
050737,GARFIELD MEDICAL CENTER,525 N GARFIELD AVE,MONTEREY PARK,CA,91754,6265732222,1,active,,01nov2004,050432,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,210,210,2017
050738,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVE,SOUTH EL MONTE,CA,91733,6263507975,1,active,,01nov2004,050615,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,104,104,2017
050739,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,CA,90301,3106734660,1,active,,19nov2004,050240,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,346,346,2017
050740,MARINA DEL REY HOSPITAL,4650 LINCOLN BLVD,MARINA DEL REY,CA,90291,3108238911,1,active,,19nov2004,050730,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,145,145,2017
050741,"CENTINELA FREEMAN REG MED CTR, MEMORIAL CAMPUS",333 NORTH PRAIRIE AVENUE,INGLEWOOD,CA,90301,3106747050,0,"vol-merg,close",31dec2006,20nov2004,050739,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,358,329,2017
050742,OLYMPIA MEDICAL CENTER,5900 WEST OLYMPIC BOULEVARD,LOS ANGELES,CA,90036,3106575900,1,active,,01dec2004,050477,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,204,204,2017
050743,SUBURBAN MEDICAL CENTER,16453 SO COLORADO AVE,PARAMOUNT,CA,90723,5625313110,0,"vol-merg,close",15feb2005,01nov2004,052046,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,143,143,2017
050744,ANAHEIM GLOBAL MEDICAL CENTER,1025 S ANAHEIM BLVD,ANAHEIM,CA,92805,7145336220,1,active,,08mar2005,050594,no affiliation,0,0,0,0,2,1,0,short term,for-profit proprietary,0,1,0,0,0,1,188,188,2017
050745,CHAPMAN GLOBAL MEDICAL CENTER,2601 E CHAPMAN AVE,ORANGE,CA,92869,7146330011,1,active,,08mar2005,050550,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,84,84,2017
050746,ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 NORTH TUSTIN AVENUE,SANTA ANA,CA,92705,7149533610,1,active,,08mar2005,,limited,0,0,0,1,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,282,282,2017
050747,SOUTH COAST GLOBAL MEDICAL CENTER,2701 S BRISTOL ST,SANTA ANA,CA,92704,7147545454,1,active,,08mar2005,050535,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,178,178,2017
050748,KAISER FOUNDATION HOSPITAL MANTECA,1777 WEST YOSEMITE AVE,MANTECA,CA,95337,2098253700,1,active,,01nov2004,050695,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,224,224,2017
050749,THOUSAND OAKS SURGICAL HOSP A CAMPUS OF LOS ROBLES,401 ROLLING OAKS DRIVE,THOUSAND OAKS,CA,91361,8057777750,0,"vol-merg,close",30nov2012,13may2005,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,21,21,2017
050750,KINDRED HOSPITAL MODESTO,730 17TH STREET,MODESTO,CA,95354,2095494105,0,"vol-merg,close",01dec2005,03may2005,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,36,36,2017
050751,MIRACLE MILE MEDICAL CENTER,6000 SAN VICENTE BLVD,LOS ANGELES,CA,90036,3239301040,1,active,,01apr2005,050681,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,17,17,2017
050752,HOLLYWOOD COMMUNITY HOSPITAL  AT BROTMAN MED CTR,3828 DELMAS TERRACE,CULVER CITY,CA,90231,3108367000,0,"vol-merg,close",01jan2013,01sep2005,050135,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,420,399,2017
050753,CENTURY CITY DOCTORS HOSPITAL,2070 CENTURY PARK EAST,LOS ANGELES,CA,90067,3107724915,0,"vol-merg,close",28aug2008,16feb2006,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,178,122,2017
050754,MENLO PARK SURGICAL HOSPITAL,570 WILLOW ROAD,MENLO PARK,CA,94025,6503248500,1,active,,01apr2006,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,16,16,2017
050755,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,8189817111,1,active,,01mar2006,050114,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,153,153,2017
050756,RANCHO SPECIALTY HOSPITAL,10841 WHITE OAK AVENUE,RANCHO CUCAMONGA,CA,91730,9095816400,0,"vol-merg,close",30sep2006,19apr2006,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,55,55,2017
050757,ALVARADO HOSPITAL MEDICAL CENTER,6655 ALVARADO ROAD,SAN DIEGO,CA,92120,6192293172,1,active,,01jan2007,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,311,281,2017
050758,MONTCLAIR HOSPITAL MEDICAL CENTER,5000 SAN BERNARDINO ST,MONTCLAIR,CA,91763,9096258300,1,active,,06sep2006,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,102,102,2017
050759,VISTA HOSPITAL OF RIVERSIDE,2224 MEDICAL CENTER DRIVE,PERRIS,CA,92571,9514363535,0,"vol-merg,close",31dec2007,23may2007,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,40,40,2017
050760,KAISER FOUNDATION HOSPITAL - ANTIOCH,4501 SAND CREEK ROAD,ANTIOCH,CA,94531,9258136500,1,active,,18jan2008,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,150,150,2017
050761,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,8188810800,1,active,,26sep2008,,no affiliation,0,0,0,1,0,1,0,short term,non-profit private,1,0,0,0,0,1,245,245,2017
050762,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,6264089800,0,oth-status chg,30apr2009,10oct2008,052054,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,49,49,2017
050763,SILVER LAKE MEDICAL CENTER,1711 WEST TEMPLE STREET,LOS ANGELES,CA,90026,2139896123,1,active,,25nov2008,,no affiliation,0,0,0,1,3,1,0,short term,for-profit proprietary,0,1,0,0,0,1,187,187,2017
050764,SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE ST,REDDING,CA,96001,5302445454,1,active,,05mar2009,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,246,191,2017
050765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,27300 IRIS AVENUE,MORENO VALLEY,CA,92555,9512516000,1,active,,20may2009,,major,0,0,0,1,2,1,0,short term,non-profit other,1,0,0,0,0,1,101,101,2017
050766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,455 PLUMAS BLVD,YUBA CITY,CA,95991,5307495700,1,active,,16jun2009,,no affiliation,0,0,0,0,0,1,0,short term,for-profit phys owned,0,1,0,0,0,1,14,14,2017
050767,KAISER FOUNDATION HOSPITAL - VACAVILLE,1 QUALITY DRIVE,VACAVILLE,CA,95688,7076244000,1,active,,01mar2010,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,72,72,2017
050768,ANAHEIM GENERAL HOSPITAL,3350 W BALL ROAD,ANAHEIM,CA,92804,7148276700,0,invol-fail req,26jun2013,07sep2010,,no affiliation,0,0,0,1,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,143,143,2017
050769,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,CA,92618,9497275000,1,active,,19nov2010,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,70,70,2017
050770,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,28062 BAXTER ROAD,MURRIETA,CA,92563,9512904000,1,active,,20may2011,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,106,106,2017
050771,COAST PLAZA HOSPITAL,13100 STUDERBAKER ROAD,NORWALK,CA,90650,3103560550,1,active,,15aug2011,,limited,0,0,0,1,2,1,0,short term,for-profit proprietary,0,1,0,0,0,1,117,105,2017
050772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,ROSEVILLE,CA,95661,9167844000,1,active,,27sep2011,,limited,0,1,0,1,0,1,0,short term,non-profit private,1,0,0,0,0,1,340,340,2017
050773,SAN LEANDRO HOSPITAL,13855 E 14TH STREET,SAN LEANDRO,CA,94578,5103576500,1,active,,12sep2012,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,93,93,2017
050775,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,CA,92592,9513312200,1,active,,12nov2013,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,140,140,2017
050776,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,5625951911,1,active,,29oct2013,,limited,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,157,157,2017
050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,5104541000,1,active,,25aug2014,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,108,108,2017
050778,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET SUITE A,LOMA LINDA,CA,92354,9095588000,1,active,,21nov2014,,graduate,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,1,343,343,2017
050779,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",1680 EAST 120TH STREET,LOS ANGELES,CA,90059,4248356808,1,active,,30jun2015,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,131,131,2017
050780,FOOTHILL REGIONAL MEDICAL CENTER,14662 NEWPORT AVE,TUSTIN,CA,92780,7146197700,1,active,,24jun2015,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,135,135,2017
050781,SONOMA WEST MEDICAL CENTER,501 PETALUMA AVENUE,SEBASTOPOL,CA,95472,7078238511,1,active,,17dec2015,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,1,37,37,2017
050782,CASA COLINA HOSPITAL,255 E BONITA AVE,POMONA,CA,91767,9095967733,1,active,,01apr2016,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,99,99,2017
05083E,SANTA MARTA HOSP & CLINIC,328 N HUMPHREY AVE,LOS ANGELES,CA,90022,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,12,12,2017
05084E,SHRINERS HOSP FOR CRIPPLED CHILDREN,3160 GENEVA ST,LOS ANGELES,CA,90005,2133883151,0,vol-other,14nov2003,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,2017
05085E,UNIVERSITY OF CALIFORNIA INFIRMARY,,RIVERSIDE,CA,92503,9092222222,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,13,13,2017
05086E,W C JONES MEM HOSP,328 S CHURCH ST,GRASS VALLEY,CA,95945,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,25,25,2017
05087E,ERNEST COWELL MEM HOSP,STRAWBERRY CREEK + COLLEGE AVE,BERKELEY,CA,94704,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,88,88,2017
05090E,SHRINERS HOSP FOR CRIPPLED CHILDREN,1701 19TH AVE,SAN FRANCISCO,CA,94122,4151111111,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,60,60,2017
050910,U C L A NEUROPSYCHIATRIC HOSP/CLINIC,760 WESTWOOD PLAZA,LOS ANGELES,CA,90024,2138250011,0,vol-risk invol,31mar1989,01jul1976,,graduate,0,1,0,0,67,1,0,short term,government state,0,0,1,0,0,,209,209,2003
05098E,LAS ENCINAS HOSP,2900 E DEL MAR BLVD,PASADENA,CA,91107,6267959901,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,125,125,2017
05099E,GILMORE HOSP,384 W ESTUDILLO AVE,SAN LEANDRO,CA,94577,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,16,16,2017
05101E,LOS BANOS EMERGENCY HOSP,925 PACHECO HWY,LOS BANOS,CA,93635,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,10,10,2017
05106E,DANIS PSYCHIATRIC HOSP,45 E ALAMAR AVE,SANTA BARBARA,CA,93105,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,31,31,2017
05113F,U S NAVAL HOSP,7500 E CARSON ST,LONG BEACH,CA,90801,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,350,350,2017
05114F,VETERANS ADMINISTRATION HOSP,3350 LA JOLLA VILLAGE DR,SAN DIEGO,CA,92161,8585528585,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,5,5,2017
05115E,SOUTHWOOD MENTAL HEALTH CENTER,950 3RD AVE,CARLSBAD,CA,92011,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,2017
051200,SCHICK SHADEL HOSP OF SANTA BARBARA,45 E ALAMAR AVE,SANTA BARBARA,CA,93105,8056872411,0,"vol-merg,close",01jun1988,01jan1984,050655,no affiliation,0,0,0,0,0,0,0,distinct part psych,for-profit proprietary,0,1,0,0,0,,30,30,2004
051201,RALEIGH HILLS HOSPITAL,1600 GORDON STREET,REDWOOD CITY,CA,94061,4153684134,0,vol-other,17may1985,01oct1984,050628,no affiliation,0,0,0,0,0,0,0,distinct part psych,for-profit proprietary,0,1,0,0,0,,24,24,2004
05127E,JERRY PETTIS MEM VETERANS HOSP,11201 BENTON ST,LOMA LINDA,CA,92357,9995551212,1,active,,01mar1991,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,2017
05128F,VETERANS AFFAIRS MEDICAL CENTER,11301 WILSHIRE BOULEVARD,LOS ANGELES,CA,90073,3104783711,1,active,,03feb2000,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,1327,1327,2017
05129F,ROBERT E BUSH NAVAL HOSPITAL,"PO BOX 788250 MCAGCC, BUILDING 1145 STURGIS STREET",TWENTYNINE PALMS,CA,92278,7608302498,1,active,,17jul2003,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,40,40,2017
051300,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,500 FIRST AVENUE,PORTOLA,CA,96122,5308324277,1,active,,24oct2000,050566,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,0,9,9,2017
051301,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY,115 WEST E STREET,TEHACHAPI,CA,93561,6618223241,1,active,,01apr2001,050446,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,1,24,24,2017
051302,SOUTHERN INYO HOSPITAL,501 EAST LOCUST STREET,LONE PINE,CA,93545,7608765501,1,active,,01apr2001,050388,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,0,25,25,2017
051303,MAMMOTH HOSPITAL,85 SIERRA PARK ROAD PO BOX 660,MAMMOTH LAKES,CA,93546,7609343311,1,active,,01jul2001,,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,0,17,17,2017
051304,JOHN C FREMONT HEALTHCARE DISTRICT,5189 HOSPITAL ROAD,MARIPOSA,CA,95338,2099663631,1,active,,01jul2001,050443,no affiliation,0,0,0,1,0,0,1,cah,government hosp district/authority,0,0,1,0,0,0,34,34,2017
051305,MAYERS MEMORIAL HOSPITAL,43563 HWY 299 EAST,FALL RIVER MILLS,CA,96028,5303365511,1,active,,01nov2001,050406,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,1,121,22,2017
051306,GLENN MEDICAL CENTER,1133 W SYCAMORE ST,WILLOWS,CA,95988,5309341818,1,active,,23oct2001,,no affiliation,0,0,0,0,0,0,1,cah,government federal,0,0,1,0,0,0,47,47,2017
051307,CATALINA ISLAND MEDICAL CENTER,100 FALLS CANYON ROAD,AVALON,CA,90704,3105100700,1,active,,30nov2001,050427,limited,0,0,1,0,0,0,1,cah,non-profit church,1,0,0,0,0,1,12,12,2017
051308,SURPRISE VALLEY COMMUNITY HOSPITAL,741 NORTH MAIN STREET,CEDARVILLE,CA,96104,5302796111,1,active,,01mar2002,050676,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,0,26,4,2017
051309,JEROLD PHELPS COMMUNITY HOSPITAL,733 CEDAR ST,GARBERVILLE,CA,95542,7079233921,1,active,,01mar2002,050482,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,0,16,16,2017
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT  STREET,SAN FRANCISCO,CA,94121,4152022664,1,active,,01jun2010,,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,120,120,2017
051310,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DR,WILLITS,CA,95490,7074563031,1,active,,01may2002,,no affiliation,0,0,0,1,0,0,1,cah,non-profit church,1,0,0,0,0,0,25,25,2017
051311,ORCHARD HOSPITAL,240 SPRUCE STREET,GRIDLEY,CA,95948,5308465671,1,active,,01jul2002,,no affiliation,0,0,0,0,0,0,1,cah,non-profit private,1,0,0,0,0,1,24,24,2017
051312,MOUNTAINS COMMUNITY HOSPITAL,29101 HOSPITAL ROAD,LAKE ARROWHEAD,CA,92352,9093363651,1,active,,01jul2002,050260,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,1,17,17,2017
