pn,name,address,city,state,zip,tel,active,termcode,termdate,partdate,prev_pn,medaffil,resprog_ada,resprog_ama,resprog_aoa,resprog_oth,residents,shortterm,cah,provider_subtype,typ_control,nonprofit,forprofit,govt,maryland,nonstate,urbancbsa,beds_tot,beds_cert,firstyear
170075,MERCY HOSPITAL INC,218 E PACK,MOUNDRIDGE,KS,67107,3163456391,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,21,21,1993
170076,WASHINGTON COUNTY HOSPITAL,304 E 3RD ST,WASHINGTON,KS,66968,9133252211,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,27,27,1993
170077,TREGO COUNTY-LEMKE MEMORIAL HOSPITAL,320 N 13TH ST,WA KEENEY,KS,67672,9137432182,1,active,,01may1970,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,28,28,1993
170079,HAMILTON COUNTY HOSPITAL,E AVE G & HUSER ST  PO BOX 909,SYRACUSE,KS,67878,3163847461,1,active,,01jan1970,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,29,29,1993
17007F,US AIR FORCE HOSP,MCCONNELL AFB,WICHITA,KS,67221,,1,active,,,,,,,,,0,1,0,short term,,0,0,0,0,0,,55,55,1993
170080,GOVE COUNTY HOSPITAL,5TH & GARFIELD,QUINTER,KS,67752,9137543341,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,21,21,1993
170081,KIOWA DISTRICT HOSPITAL,810 DRUMM ST,KIOWA,KS,67070,3168254131,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,24,24,1993
170082,GREELEY COUNTY HOSPITAL,506 THIRD,TRIBUNE,KS,67879,3163764221,1,active,,01jan1972,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,18,18,1993
170084,NORTON COUNTY HOSPITAL,102 E HOLME,NORTON,KS,67654,9138773351,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,43,43,1993
170085,SCOTT COUNTY HOSPITAL,310 EAST THIRD,SCOTT CITY,KS,67871,3168725811,1,active,,01jul1974,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,27,27,1993
170086,STORMONT VAIL REGIONAL MED CENTER,1500 SW 10TH ST,TOPEKA,KS,66604,9133546000,1,active,,01jul1966,,major,0,1,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,506,506,1993
170087,ST JOSEPH MEDICAL CENTER,3600 E HARRY,WICHITA,KS,67218,3166895315,1,active,,01jul1966,,major,0,1,0,0,39.5,1,0,short term,non-profit church,1,0,0,0,0,,589,589,1993
170088,ELLSWORTH CO VETERANS MEM HOSPITAL,300 KINGSLEY  PO BOX 87,ELLSWORTH,KS,67439,9134723111,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,44,44,1993
170089,STEVENS COUNTY HOSPITAL,1006 S JACKSON,HUGOTON,KS,67951,3165448511,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,17,17,1993
17008F,VA HOSP,5500 E KELLOGG ST,WICHITA,KS,67218,,1,active,,,,,,,,,0,1,0,short term,,0,0,0,0,0,,221,221,1993
170090,HODGEMAN COUNTY HEALTH CENTER,809 W BRAMLEY,JETMORE,KS,67854,3163578361,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,16,16,1993
170091,KATY MEMORIAL HOSP,400 KATY ST,PARSONS,KS,67357,3164212700,0,"vol-merg,close",05apr1985,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,45,45,1993
170092,PLAINVILLE RURAL HOSPITAL,304 S COLORADO ST,PLAINVILLE,KS,67663,9134344553,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,27,27,1993
170093,SMITH COUNTY MEMORIAL HOSPITAL,614 S MAIN ST,SMITH CENTER,KS,66967,9132826845,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,26,26,1993
170094,COFFEY COUNTY HOSPITAL,801 N 4TH ST  PO BOX 189,BURLINGTON,KS,66839,3163642121,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,26,26,1993
170095,ST JOSEPH HOSPITAL,1100 HIGHLAND DR,CONCORDIA,KS,66901,9132431234,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,90,90,1993
170097,NORTHWEST KANSAS REGIONAL MEDICAL CTR,1ST AND SHERMAN STS,GOODLAND,KS,67735,9138993625,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,49,49,1993
170098,HOSPITAL DISTRICT 1 CRAWFORD COUNTY,302 N HOSPITAL DR,GIRARD,KS,66743,3167248291,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,38,38,1993
170099,WASHINGTON COUNTY HOSPITAL DIST #1,205 S HANOVER,HANOVER,KS,66945,9133372214,1,active,,01jul1966,,limited,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,18,18,1993
170100,KEARNY COUNTY HOSPITAL,500 THORPE ST  PO BOX 744,LAKIN,KS,67860,3163557111,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,26,26,1993
170101,LINDSBORG COMMUNITY HOSPITAL,605 W LINCOLN ST,LINDSBORG,KS,67456,9132273308,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,39,39,1993
170102,MEDICINE LODGE MEMORIAL HOSPITAL,710 N WALNUT ST,MEDICINE LODGE,KS,67104,3168863771,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,42,42,1993
170103,NEWTON MEDICAL CENTER,411 SE 2ND  PO BOX 308,NEWTON,KS,67114,3162832700,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,150,150,1993
170104,SHAWNEE MISSION MEDICAL CENTER,9100 W 74TH ST,SHAWNEE MISSION,KS,66201,9136762184,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,383,383,1993
170105,MEMORIAL HOSPITAL,1000 HOSPITAL DRIVE,MCPHERSON,KS,67460,3162412250,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,70,70,1993
170106,SEDAN CITY HOSPITAL,300 W NORTH ST,SEDAN,KS,67361,3167253115,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,44,44,1993
170108,LANE COUNTY HOSPITAL,243 S SECOND  PO BOX 969,DIGHTON,KS,67839,3163975321,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,10,10,1993
170109,MIAMI COUNTY HOSPITAL,501 S HOSPITAL DR  PO BOX 365,PAOLA,KS,66071,9132942327,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,40,40,1993
170110,BOB WILSON MEM GRANT CO HOSPITAL,415 N MAIN ST,ULYSSES,KS,67880,3163561266,1,active,,01sep1967,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,45,45,1993
170112,CLARA BARTON HOSPITAL,250 W 9TH ST,HOISINGTON,KS,67544,3166532114,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,48,48,1993
170113,COMMUNITY MEMORIAL HOSPITAL,708 N 18TH ST,MARYSVILLE,KS,66508,9135622311,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,55,55,1993
170114,MEMORIAL HOSPITAL,511 NE 10TH ST,ABILENE,KS,67410,9132632100,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,69,69,1993
170115,HERINGTON MUNICIPAL HOSPITAL,100 E HELEN ST,HERINGTON,KS,67449,9132582207,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,20,20,1993
170116,ALLEN COUNTY HOSPITAL,101 S 1ST ST,IOLA,KS,66749,3163653131,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,49,49,1993
170117,STANTON COUNTY HOSPITAL,404 N CHESTNUT,JOHNSON,KS,67855,3164926250,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,18,18,1993
170119,RUSH COUNTY MEMORIAL HOSPITAL,8TH & LOCUST,LA CROSSE,KS,67548,9132222545,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,24,24,1993
170120,LABETTE COUNTY MEDICAL CENTER,SOUTH HWY 59  PO BOX 956,PARSONS,KS,67357,3164214880,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,109,109,1993
170121,GRISELL MEMORIAL HOSPITAL DISTRICT #1,330 VERMONT  PO BOX 268,RANSOM,KS,67572,9137312231,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,18,18,1993
170122,ST FRANCIS REGIONAL MEDICAL CENTER,929 N ST FRANCIS AVE,WICHITA,KS,67214,3162685000,1,active,,01jul1966,,no affiliation,0,0,0,0,65,1,0,short term,non-profit church,1,0,0,0,0,,886,886,1993
170123,HCA WESLEY MEDICAL CENTER,550 N HILLSIDE,WICHITA,KS,67214,3166882468,1,active,,01jul1966,,major,0,0,0,1,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,760,760,1993
170124,HOSPITAL DISTRICT 6 HARPER COUNTY,1101 E SPRING ST,ANTHONY,KS,67003,3168425111,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,46,46,1993
170125,ST JOHN PRIMARY CARE HOSPITAL,609 E 1ST ST,SAINT JOHN,KS,67576,3165493255,0,"vol-merg,close",01jul1991,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,19,19,1993
170126,OTTAWA COUNTY HOSPITAL,215 E 8TH,MINNEAPOLIS,KS,67467,9133922122,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,30,30,1993
170128,WAMEGO CITY HOSPITAL,711 GENN DR,WAMEGO,KS,66547,9134562295,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,26,26,1993
170130,GARDNER COMM MED CTR INC,427 W MAIN ST,GARDNER,KS,66030,9138848711,0,"vol-merg,close",15nov1986,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,25,25,1993
170131,JEFFERSON COUNTY MEMORIAL HOSPITAL,RR 1  BOX 1,WINCHESTER,KS,66097,9137744340,1,active,,10jun1985,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,36,36,1993
170133,CUSHING MEMORIAL HOSPITAL,711 MARSHALL ST,LEAVENWORTH,KS,66048,9136841100,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,68,68,1993
170134,LOGAN COUNTY HOSPITAL,211 CHERRY ST,OAKLEY,KS,67748,9136723211,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,22,22,1993
170137,LAWRENCE MEMORIAL HOSPITAL,325 MAINE ST,LAWRENCE,KS,66044,9137496100,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,178,178,1993
170138,MEMORIAL HOSPITAL CORPORATION TOPEKA,600 SE MADISON,QOPEKA,KS,66607,9133545100,0,"vol-merg,close",12may1989,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,179,179,1993
170139,SATANTA DISTRICT HOSPITAL,CHEYENNE & APACHE STS  PO BOX 159,SATANTA,KS,67870,3166492761,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,13,13,1993
170140,WELLINGTON HOSPITAL,924 S WASHINGTON AVE,WELLINGTON,KS,67152,3163263353,1,active,,01jul1974,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,37,37,1993
170142,ST MARYS HOSPITAL,1823 COLLEGE AVE,MANHATTAN,KS,66502,9137763322,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,106,106,1993
170143,NEOSHO MEMORIAL HOSPITAL,629 S PLUMMER,CHANUTE,KS,66720,3164314000,1,active,,11dec1985,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,97,97,1993
170144,HALSTEAD HOSPITAL,328 POPLAR ST,HALSTEAD,KS,67056,3168352651,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,160,160,1993
170145,COFFEYVILLE REGIONAL MEDICAL CENTER,1400 W 4TH ST,COFFEYVILLE,KS,67337,3162511200,1,active,,01jul1966,,limited,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,122,122,1993
170146,PROVIDENCE ST MARGARET HEALTH CENTER,8929 PARALLEL PARKWAY,KANSAS CITY,KS,66112,9135964000,1,active,,01sep1971,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,379,379,1993
170147,RIVERSIDE HOSPITAL,2622 W CENTRAL ST,WICHITA,KS,67203,3169465000,1,active,,01jul1966,,limited,0,0,1,0,8,1,0,short term,non-profit private,1,0,0,0,0,,103,103,1993
170148,BETHANY MEDICAL CENTER,51 N 12TH ST,KANSAS CITY,KS,66102,9132818400,1,active,,01jul1966,,major,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,386,386,1993
170150,ARKANSAS CITY MEMORIAL HOSPITAL,216 W BIRCH ST,ARKANSAS CITY,KS,67005,3164422500,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,75,75,1993
170151,HOSPITAL DISTRICT 5 HARPER COUNTY,12TH & MAPLE,HARPER,KS,67058,3168967324,1,active,,01jul1987,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,38,38,1993
170152,HOSPITAL DIST #1 OF SUMNER CO,601 S OSAGE,CALDWELL,KS,67022,3168456492,1,active,,18apr1980,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,27,27,1993
170159,OSWEGO CITY HOSPITAL,900 BARKER DR,OSWEGO,KS,67356,3167952921,0,"vol-merg,close",08may1993,24sep1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,18,18,1993
170160,HOLTON CITY HOSPITAL,510 KANSAS AVE,HOLTON,KS,66436,9133642116,1,active,,14oct1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,27,27,1993
170164,SABETHA COMMUNITY HOSPITAL,14TH & OREGON,SABETHA,KS,66534,9132842121,1,active,,01jan1972,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,27,27,1993
170166,MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART,KS,67950,3166972141,1,active,,01feb1975,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,34,34,1993
170168,JEWELL COUNTY HOSPITAL,100 CREST VUE,MANKATO,KS,66956,9133783137,1,active,,01aug1969,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,12,12,1993
170170,ATTICA HOSPITAL DISTRICT #1,302 N BOTKIN,ATTICA,KS,67009,3162547253,0,"vol-merg,close",31oct1991,01may1970,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,18,18,1993
170171,AUGUSTA MEDICAL COMPLEX INC,2101 DEARBORN,AUGUSTA,KS,67010,3167755421,1,active,,24jul1972,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,40,40,1993
170172,CEDAR VALE COMMUNITY HOSPITAL,501 CEDAR ST,CEDAR VALE,KS,67024,3167852266,1,active,,01aug1972,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,35,35,1993
170173,SPEARVILLE DISTRICT HOSPITAL,HALL & DORSETT STS,SPEARVILLE,KS,67876,3163852661,0,invol-fail req,25oct1991,14may1974,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,16,16,1993
170174,WICHITA COUNTY HOSPITAL,211 E EARL,LEOTI,KS,67861,3163752233,1,active,,11feb1975,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,13,13,1993
170175,WESTERN PLAINS REGIONAL HOSPITAL,3001 AVENUE A,DODGE CITY,KS,67801,3162259050,1,active,,27dec1976,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,110,110,1993
170176,OVERLAND PARK REGIONAL MEDICAL CENTER,10500 QUIVIRA RD,OVERLAND PARK,KS,66215,9135415300,1,active,,15sep1978,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,400,400,1993
170177,BUCKLIN DISTRICT HOSP,127 S W AVE PO BOX 38,BUCKLIN,KS,67834,3168163211,0,"vol-merg,close",31jul1985,11apr1979,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,25,25,1993
170178,BEHAVIORAL MEDICINE CENTER,400 KATY STREET,PARSONS,KS,67357,3164210004,0,vol-other,15dec1986,10mar1986,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,1,1,1993
170180,MEADOWBROOK HOSPITAL,427 W MAIN,GARDNER,KS,66030,9138848711,1,active,,21jun1993,,limited,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,48,48,1993
170181,MEDICAL HEIGHTS HOSPITELE,100 ROSS BLVD BLDG 3,DODGE CITY,KS,67801,3162253300,1,active,,28sep1993,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,10,10,1993
170182,MENORAH MEDICAL PARK,5721 W 119TH STREET,OVERLAND PARK,KS,66209,9133453600,1,active,,31may1994,,no affiliation,0,0,0,0,5,1,0,short term,non-profit other,1,0,0,0,0,,8,8,1994
170183,KANSAS SURGERY & RECOVERY CENTER LP,2770 N WEBB ROAD,WICHITA,KS,67226,3166829010,1,active,,04apr1995,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,11,11,1995
170185,SAINT LUKES SOUTH HOSPSITAL,12300 METCALF,OVERLAND PARK,KS,66213,9133177000,1,active,,30nov1998,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,75,75,1999
170186,KANSAS HEART HOSPITAL,3601 N WEBB ROAD,WICHITA,KS,67226,3166305000,1,active,,17feb1999,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,32,32,1999
170187,SALINA SURGICAL HOSPITAL LLC,401 SOUTH SANTA FE,SALINA,KS,67401,7858270610,1,active,,09dec1999,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,8,8,2000
170188,KANSAS CITY ORTHOPEDIC INSTITUTE,3651 COLLEGE BLVD,LEAWOOD,KS,66211,9133384100,1,active,,21jan2000,,graduate,0,1,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,9,9,2000
170189,SELECT SPECIALTY HOSPITAL WICHITA,550 NORTH HILLSIDE  4 WEST,WICHITA,KS,67214,3166883900,0,oth-status chg,01jan2001,22jun2000,172007,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,30,30,2000
170190,MANHATTAN SURGICAL HOSPITAL LLC,1829 COLLEGE AVENUE,MANHATTAN,KS,66502,7857765100,1,active,,07feb2001,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,7,7,2001
170191,SURGICAL AND DIAGNOSTIC CTR OF GR BEND,514 CLEVELAND STREET,GREAT BEND,KS,67530,6207921448,1,active,,19apr2001,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,4,4,2001
170192,GALICHIA HEART HOSPITAL LLC,2610 N WOODLAWN,WICHITA,KS,67220,3162199101,1,active,,21dec2001,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,55,55,2002
170193,EMPORIA SURGICAL HOSPITAL,1602 WEST 15TH STREET,EMPORIA,KS,66801,6203428822,1,active,,26mar2002,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,4,4,2002
170194,DOCTORS SPECIALTY HOSPITAL LLC,4901 COLLEGE,LEAWOOD,KS,66211,9135291801,1,active,,18sep2002,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,10,10,2002
170195,HEARTLAND SURGICAL SPECIALTY HOSPITAL,10720 NALL AVENUE,OVERLAND PARK,KS,66211,9137545000,1,active,,12nov2003,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,19,19,2003
170196,KANSAS SPINE HOSPITAL LLC,3333 N WEBB ROAD,WICHITA,KS,67226,3164625345,1,active,,29dec2003,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,22,22,2004
170197,KANSAS MEDICAL CENTER LLC,1124 WEST 21ST STREET,ANDOVER,KS,67002,3163004000,1,active,,09oct2006,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,58,58,2006
170198,SUMMIT SURGICAL LLC,1818 EAST 23RD AVENUE,HUTCHINSON,KS,67502,6206634800,1,active,,05dec2006,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,6,6,2007
170199,MINIMALLY INVASIVE SURGERY HOSPITAL,11217 LAKEVIEW AVENUE,LENEXA,KS,66219,9133227401,1,active,,03feb2009,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,9,9,2009
170200,VIA CHRISTI HOSPITAL WICHITA ST TERESA INC,14800 WEST ST TERESA,WICHITA,KS,67235,3167967000,1,active,,16sep2010,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,68,68,2010
170201,BLUE VALLEY HOSPITAL INC,12850 METCALF AVENUE,OVERLAND PARK,KS,66213,9134920160,1,active,,17jun2011,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,4,4,2013
170203,PREMIER SURGICAL INSTITUTE,"1619 K HIGHWAY 66, PO BOX 127",GALENA,KS,66739,6207831732,1,active,,20jun2013,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,0,16,16,2013
170913,ATCHISON HOSP/LT,1300 N 2ND ST,ATCHISON,KS,66002,9133672131,0,"vol-merg,close",01oct1989,01oct1972,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,45,45,1993
170933,ATTICA DIST HOSP 1,302 N BOTKIN PO BOX 268,ATTICA,KS,67009,3162547253,0,"vol-merg,close",01jan1990,01jan1973,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,29,29,1993
170938,ST JOHN'S HOSPITAL,139 NORTH PENN P O BOX 1688,SALINA,KS,67401,9138275591,0,"vol-merg,close",01jul1985,01jul1982,,no affiliation,0,0,0,1,0,1,0,short term,non-profit church,1,0,0,0,0,,43,43,1993
171300,GRISELL MEMORIAL HOSPITAL DISTRICT 1,210 VERMONT  PO BOX 268,RANSOM,KS,67572,7857312231,1,active,,01dec1993,170121,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,,12,12,1998
171301,ELLINWOOD DISTRICT HOSPITAL,605 N MAIN,ELLINWOOD,KS,67526,3165642548,1,active,,01oct1994,170062,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,,24,12,1998
171302,OSWEGO HEALTH CENTER,800 BARKER DRIVE,OSWEGO,KS,67356,3167952921,1,active,,27oct1994,,no affiliation,0,0,0,0,0,0,1,cah,non-profit church,1,0,0,0,0,,6,6,1998
171303,LANE COUNTY HOSPITAL,243 S SECOND  PO BOX 969,DIGHTON,KS,67839,3163975321,1,active,,08dec1994,170108,no affiliation,0,0,0,0,0,0,1,cah,government local,0,0,1,0,0,,10,10,1998
171304,ASHLAND DISTRICT HOSPSITAL,709 OAK STREET  PO BOX 188,ASHLAND,KS,67831,3166352241,1,active,,22dec1994,170050,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,,12,12,1998
171305,CEDAR VALE COMMUNITY HOSPITAL,501 CEDAR ST,CEDAR VALE,KS,67024,3167582266,1,active,,26jan1995,170172,no affiliation,0,0,0,0,0,0,1,cah,non-profit private,1,0,0,0,0,,12,12,1998
171306,WICHITA COUNTY HEALTH CENTER,211 E EARL STREET,LEOTI,KS,67861,3163752233,1,active,,06sep1995,170174,no affiliation,0,0,0,0,0,0,1,cah,government local,0,0,1,0,0,,12,12,1998
171307,RAWLINS COUNTY HOSPITAL,707 GRANT ST   PO BOX 47,ATWOOD,KS,67730,9136263211,1,active,,31oct1995,170069,no affiliation,0,0,0,0,0,0,1,cah,government local,0,0,1,0,0,,24,6,1998
171308,MAUDE NORTON MEMORIAL CITY HOSPITAL,220 N PENNSYLVANIA,COLUMBUS,KS,66725,3164292545,1,active,,29jan1996,170043,no affiliation,0,0,0,0,0,0,1,cah,government local,0,0,1,0,0,,12,12,1998
171309,JEWELL COUNTY HOSPSITAL,100 CRESTVUE AVE  PO BOX 327,MANKATO,KS,66956,9133783137,1,active,,29feb1996,170168,no affiliation,0,0,0,0,0,0,1,cah,government local,0,0,1,0,0,,12,12,1998
171310,CHEYENNE COUNTY HOSPITAL,210 W FIRST STREET  PO BOX 547,SAINT FRANCIS,KS,67756,9133322104,1,active,,26jun1996,170064,no affiliation,0,0,0,0,0,0,1,cah,government local,0,0,1,0,0,,6,6,1998
171311,PLAINVILLE RURAL HOSPITAL DIST #1,304 S COLORADO,PLAINVILLE,KS,67663,9134344553,1,active,,04dec1996,170082,no affiliation,0,0,0,0,0,0,1,cah,government hosp district/authority,0,0,1,0,0,,27,27,1998
171312,COMANCHE COUNTY HOSPITAL,2ND & FRISCO STREET,COLDWATER,KS,67029,3165822144,1,active,,20dec1996,170036,no affiliation,0,0,0,0,0,0,1,cah,government local,0,0,1,0,0,,14,6,1998
171313,KEARNY COUNTY HOSPITAL,500 THORPE STREET  PO BOX 744,LAKIN,KS,67860,3163557111,1,active,,03mar1997,170100,no affiliation,0,0,0,0,0,0,1,cah,government local,0,0,1,0,0,,6,6,1998
171314,JEFFERSON COUNTY MEMORIAL HOSPITAL,408 DELAWARE STREET  RT1 BOX 1,WINCHESTER,KS,66097,9137744340,1,active,,10jul1997,170131,no affiliation,0,0,0,0,0,0,1,cah,non-profit private,1,0,0,0,0,,6,6,1998
